id,igdb_id,csv_title,igdb_title,title_match,csv_cover_url,igdb_cover_url,cover_match,nominator,comment,audit_status
ec81a225-808c-4710-9973-4cacaf389a31,239185,Dragon Quest,Dragon Quest,Match,https://images.igdb.com/igdb/image/upload/t_1080p/co7wt9.jpg,https://images.igdb.com/igdb/image/upload/t_cover_big/coaysu.jpg,Mismatch,Matheus,imagem errada,COVER_MISMATCH
78d8259e-0bd2-4cb9-bd8f-f105340e52d0,239185,Dragon Quest (1989),Dragon Quest,Mismatch,https://images.igdb.com/igdb/image/upload/t_1080p/co7wt9.jpg,https://images.igdb.com/igdb/image/upload/t_cover_big/coaysu.jpg,Mismatch,Matheus,jogo duplicado,BOTH_MISMATCH
d0a75228-9e0f-498f-b325-106b2ae9df83,3968,Dragon's Dogma,Dragon's Dogma,Match,https://images.igdb.com/igdb/image/upload/t_1080p/co833w.jpg,https://images.igdb.com/igdb/image/upload/t_cover_big/co8zm7.jpg,Mismatch,Matheus,nome e imagem errada,COVER_MISMATCH
15cbf5f8-2bb3-41bd-889c-596dc00453ce,146917,Dungeons of Hinterberg,Dungeons of Hinterberg,Match,https://images.igdb.com/igdb/image/upload/t_1080p/co8oq4.jpg,https://images.igdb.com/igdb/image/upload/t_cover_big/co8oq4.jpg,Match,Lucas,,OK
83a058d8-4f70-4279-a4e2-a9cc63ba0739,119133,Elden Ring,Elden Ring,Match,https://images.igdb.com/igdb/image/upload/t_1080p/co4jni.jpg,https://images.igdb.com/igdb/image/upload/t_cover_big/co4jni.jpg,Match,Matheus,,OK
2cc8abe8-1406-44e9-8627-0b606be51ed5,248643,Enshrouded,Enshrouded,Match,https://images.igdb.com/igdb/image/upload/t_1080p/cob9vp.jpg,https://images.igdb.com/igdb/image/upload/t_cover_big/cobx3a.jpg,Mismatch,"Ygnos, The Mage",,COVER_MISMATCH
54642b02-e0f9-486a-b6c5-5dd2ed68b92a,16,Fallout New Vegas,Fallout: New Vegas,Punctuation Mismatch,https://images.igdb.com/igdb/image/upload/t_1080p/co1u60.jpg,https://images.igdb.com/igdb/image/upload/t_cover_big/co1u60.jpg,Match,Matheus,,MINOR_TITLE_DEVIATION (PUNCTUATION_MISMATCH)
03cbbdef-fb11-4170-81f1-87326d2ee35d,16,Fallout: New Vegas,Fallout: New Vegas,Match,https://images.igdb.com/igdb/image/upload/t_1080p/co1u60.jpg,https://images.igdb.com/igdb/image/upload/t_cover_big/co1u60.jpg,Match,Matheus,jogo duplicado,OK
ba7d6a32-88f3-4c8d-a646-62bbda713416,20329,Figment,Figment,Match,https://images.igdb.com/igdb/image/upload/t_cover_big/co691d.jpg,https://images.igdb.com/igdb/image/upload/t_cover_big/co691d.jpg,Match,Matheus,,OK
95b9d312-7e0d-4d67-a866-3b0b2a13c085,11169,Final Fantasy VII Remake,Final Fantasy VII Remake,Match,https://images.igdb.com/igdb/image/upload/t_1080p/cobcwt.jpg,https://images.igdb.com/igdb/image/upload/t_cover_big/cobcwt.jpg,Match,Lucas,,OK
